ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Media_IDs,Sense_IDs,Sources,alt_translation1
XV000013,kgv,Mustafa esun Kamberarkoa amdirat komaruk.,,,Mustafa's father is burning a garden patch at Kamberar.,,,,SN000031,Fajaria Yarkuran,Mustafa pu bapak bakar kebun di Kamberar.
XV000014,kgv,Ma ime rumasakitko amkeit.,,,She gives birth in the hospital.,,,,SN000032,Fajaria Yarkuran,Dia itu melahirkan di rumah sakit.
XV000015,kgv,An bo jambatanggoa warkin.,,,I want to go fishing at the dock.,,,,SN000033,Fajaria Yarkuran,Saya pi pancing di jembatan.
XV000016,kgv,Lenggalenggan se koyet.,lenggalengga\t-an\tse\tkoyet\t.,chilli\t1SG.POSS\tiam\tfinish\t,My chilli is finished.,,,,SN000034,Fajaria Yarkuran,Saya punya rica habis.
XV000017,kgv,"Andain tok repnin, mu he rep.",,,"I didn't get it yet, they did.",,,,SN000036,Fajaria Yarkuran,"Saya sendiri belum ambil, dorang su ambil."
XV000018,kgv,Turing Bandain dumang.,,,A Banda mountain exploded.,,,,SN000037,Fajaria Yarkuran,Gunung Banda meletus.
XV000019,kgv,Tabuon ang reidak.,,,There are many turban shells.,,,,SN000038,Fajaria Yarkuran,Ciput batu laga kecil banyak.
XV000020,kgv,An muat siriet mu anggasanara paruotkin.,,,I ordered them to make my door.,,,,SN000039,Fajaria Yarkuran,Saya suruh dorang bikin saya punya pintu.
XV000021,kgv,Kewean anggon cicaun weinun.,,,My house is small too.,,,,SN000041,Fajaria Yarkuran,Saya punya rumah kecil saja.
XV000022,kgv,Antingantingan se kawarcien.,,,My earrings are broken.,,,,SN000044,Fajaria Yarkuran,Saya punya anting-anting sudah pata.
XV000023,kgv,Mu sorat erawi ramie lawana erap.,,,"They caught five fish, five groupers.",,,,SN000046,Fajaria Yarkuran,"Dorang hela ikan lima ekor, ikan merah lima ekor."
XV000024,kgv,Mu Baki Tanggeunggo sairararat koar.,,,They are diving for lobsters at Baki Tanggeun.,,,,SN000047,Fajaria Yarkuran,Dorang menyelam udang di Baki Tanggeun.
XV000025,kgv,An pinganat waruo ar.,,,I'm doing the dishes noisily.,,,,SN000048,Fajaria Yarkuran,Saya cuci piring terlalu bunyi.
XV000026,kgv,Ka tok kokoat arteǃ,,,Expel the chicken first!,,,,SN000049,Fajaria Yarkuran,Kau usir ayam dulu!
XV000027,kgv,In polkayak arunat kowaren.,,,We scrape the papaya stem.,,,,SN000051,Fajaria Yarkuran,Kita kikis pepaya pu batang.
XV000028,kgv,Ka era rorat arkoni potmeiǃ,,,You go up to cut one tree!,,,,SN000052,Fajaria Yarkuran,Kau naik potong kayu satu pohon!
XV000029,kgv,Ma erat owatko aragadi.,,,They are sawing a canoe over there.,,,,SN000054,Fajaria Yarkuran,Dia gergaji perahu di sana.
XV000030,kgv,"An don kang komain, eba an arekmang: adihǃ",,,"I hit a sharp thing, then I screamed: ouch!",,,,SN000056,Fajaria Yarkuran,"Saya kenal barang tajam, baru saya kaget: adih!"
XV000031,kgv,Mu ror suar aremun met kona.,,,They see a big ironwood tree.,,,,SN000057,Fajaria Yarkuran,Dorang lihat pohon kayu merbau itu besar.
XV000032,kgv,Ariemun sontum bo masikitko nasumbian.,,,On Friday people go to the mosque to worship,,,,SN000061,Fajaria Yarkuran,Hari jumat orang pergi solat di mesjid.
XV000033,kgv,Im me arun temun.,,,That banana tree is big.,,,,SN000062,Fajaria Yarkuran,Pohon pisang itu besar.
XV000034,kgv,Mu asarat nasumbian.,,,They are praying the Asr prayer.,,,,SN000066,Fajaria Yarkuran,Mereka solat asar.
XV000035,kgv,"Ma yumene asokmang, ma tiri.",,,"He is short of breath, he ran.",,,,SN000068,Fajaria Yarkuran,Dia itu hosa karena dia lari.
XV000036,kgv,An asun menggara mara.,,,I go landwards at that edge.,,,,SN000069,Fajaria Yarkuran,Saya masuk di cela itu.
XV000037,kgv,Ma tangat masak.,ma\ttan\t=at\tmasak\t.,3SG\tarm and hand\t=OBJ\tlift\t,She lifts her arm.,,,,SN000070,,Dia angkat tangan.
XV000038,kgv,Canam leat narorar ba lek sukaun ge.,,,The man is pulling the goat but the goat doesn't want.,,,,SN000074,Fajaria Yarkuran,Lakilaki tondak kambing tapi kambing tidak suka.
XV000039,kgv,putkon ba raman,,,sixteen,,,,SN000075,Fajaria Yarkuran,enam belas
XV000040,kgv,O som yaweba daruar.,o\tsom\tyawe\t=ba\tdaruar,EMPH\tperson\tdown\t=FOC\tpull out,"Oh, that person down there is pulling out [our plants].",,,,SN000076,narr22 110.1,O orang di bawa cabut [kita pu tanaman].
XV000041,kgv,Kalis se baratnin; bakbak se kararak.,,,"It doesn't rain anymore, the containers are dry.",,,,SN000077,Fajaria Yarkuran,Hujan su tara turun; bakbak su kering.
XV000042,kgv,Bal rusat sarie.,,,The dog is chasing the deer.,,,,SN000079,Fajaria Yarkuran,Anjing kejar rusa.
XV000043,kgv,Ruslan emuna imolat balare lamerat paruotkin.,,,"Ruslan's mother is heating banana leaves, she wants to make a ""lamet"".",,,,SN000081,Fajaria Yarkuran,Ruslan pu mama rau daun pisang bikin lamet.
XV000044,kgv,Urkia balikawuok kuarte bubur posyanduin.,,,Urkia is cooking mung beans for posyandu porridge.,,,,SN000083,Fajaria Yarkuran,Urkia masak kacang hijau bikin bubur posyandu.
XV000045,kgv,Baluku me per nekoa tuaruar ma me pasierkonin.,,,"Eels live in the brackish water, not in sea water.",,,,SN000086,Fajaria Yarkuran,Belut itu tinggal di air tawar dia tidak tinggal di air garam.
XV000046,kgv,Sekolatumtum bankun kurangi raman.,,,The school children have six benches too little.,,,,SN000087,Fajaria Yarkuran,Anakanak sekola punya bangku kurang enam.
XV000047,kgv,Mu urap owara pareiri baran.,,,They follow down the stairs over there.,,,,SN000088,Fajaria Yarkuran,Dorang ikut jalanan turun dari sana.
XV000048,kgv,Tumun me barahalasawe.,,,That child is too lazy.,,,,SN000089,Fajaria Yarkuran,Anak itu pu malas lagi.
XV000049,kgv,"Inininggan ecuan, anbarak ecuan.",,,"We all cried, I cried too.",,,,SN000090,Fajaria Yarkuran,"Kita semua menangis, saya lagi menangis."
XV000050,kgv,Suarabarak an ratnin.,,,I didn't even hear a voice.,,,,SN000090,Fajaria Yarkuran,Suara pun saya tidak dengar.
XV000051,kgv,Som yumene barala mat paruo.,,,"That person, barala-illness is disturbing him.",,,,SN000091,Fajaria Yarkuran,Orang itu penyakit badan bikin dia.
XV000052,kgv,Salima emun barangat Kamberarga ruora reidak.,,,Salima's mother dug a lot of turmeric at Kamberar.,,,,SN000092,Fajaria Yarkuran,Salima pu mama gali kuning di Kamberar banyak.
XV000053,kgv,Tuti mu pasa baranggaptenara kuar.,,,Tuti and family are cooking yellow rice.,,,,SN000093,Fajaria Yarkuran,Tuti dorang masak nasi kuning.
XV000054,kgv,Dian esun mu erat barotmani Tatka bot.,,,Dian's father and associates are turning a canoe going to Tat.,,,,SN000094,Fajaria Yarkuran,Dian pu bapak dong putar perahu pi di Tat sana.
XV000055,kgv,"Sontum me bawang iriskaptenara parin, bawang kerkap ge.",,,"That person sells garlic, not onion.",,,,SN000097,Fajaria Yarkuran,"Orang itu jual bawang putih, tidak jual bawang merah."
XV000056,kgv,Mu bawang kerkapten reidak.,,,They a have lot of onion.,,,,SN000098,Fajaria Yarkuran,Dorang punya bawang merah banyak.
XV000057,kgv,Mayor mu bayamat amdirunggo kawaya.,,,Mayor and family plant spinach in the garden.,,,,SN000099,Fajaria Yarkuran,Mayor dorang tanam bayam di kebun.
XV000058,kgv,Warkin kararakte bayas se bo iriskapte kaheni bo.,,,When the tide is low the white sand stretches far.,,,,SN000100,Fajaria Yarkuran,Meti kering pasir putih panjang sekali.
XV000059,kgv,Bebak yie perbolat pareirte dong.,,,The ducks ar swimming at the edge of the water in a row.,,,,SN000101,Fajaria Yarkuran,Bebek berenang di pinggir air satu kelompong.
XV000060,kgv,Bekieman ningda an sirie nene Ruslan paruo.,,,"My shoulder hurts, I'm sending for Ruslan's grandmother to heal it.",,,,SN000102,Fajaria Yarkuran,Saya punya bahu sakit saya suru nenek Ruslan yang bikin.
XV000061,kgv,Ma turta bekiemkanguna kawarcie.,,,He fell and broke his shoulder blade.,,,,SN000103,Fajaria Yarkuran,Dia jatuh dia punya tulang bahu pata.
XV000062,kgv,Beladargara mia mangberat belajar.,,,(She) comes from the Netherlands to learn our language.,,,,SN000104,Fajaria Yarkuran,Dari Belanda yang datang belajar kitong punya bahasa.
XV000063,kgv,Tum me senang ma kewo belajar.,,,That kid is happy to study at home.,,,,SN000105,Fajaria Yarkuran,Anak itu senang belajar di rumah.
XV000064,kgv,Davit esun galaun kon ba bo belbel.,,,Davit's father has one spear but it's sharp.,,,,SN000106,Fajaria Yarkuran,Davit pu bapa pu tombak satu tapi tajam.
XV000065,kgv,Som yumene belenun kahen.,,,That person has a long tongue.,,,,SN000108,Fajaria Yarkuran,Orang itu punya lida panjang.
XV000066,kgv,Rajiba emun me bes.,,,Rajiba's mother is a good person.,,,,SN000109,Fajaria Yarkuran,Rajiba pu mama itu baik.
XV000067,kgv,Ka bore yuol wabes.,ka\tbo\t-re\tyuol\twa\t-bes\t.,2SG\tgo\tNFIN\tday\tPROX\tQNT\t,You went this many days.,,,,SN000110,narr26 182.1,Kau pigi lama begini.
XV000068,kgv,Burhan mu gol kanggeira ba bet ten.,,,Burhan and his friends are playing football but the goal is bad.,,,,SN000111,Fajaria Yarkuran,Burhan dong mau main bola tapi gawang tidak baik.
XV000069,kgv,Bakri emun bintangun se parair ma dodonwaruotkin ba eranun.,,,"Bakri's mother's tub is broken, she wants to wash clothes but she can't.",,,,SN000115,Fajaria Yarkuran,Bakri pu mama mau bacuci tapi dia punya parteng su picah.
XV000070,kgv,Tumtum reidak mu bintulak jiere ba pasorte natkin.,,,Many children are catching tilefish which they want to fry and eat.,,,,SN000116,Fajaria Yarkuran,Anakanak banyak mereka tangkap ikan kecil mau goreng makan.
XV000071,kgv,Warkin emun kararak Tamandi emun mu birbir tup.,,,When the tide is very low Tamandi's mother and friends go fishing for small fish with poisonous root.,,,,SN000118 ; SN002537,Fajaria Yarkuran,Meti besar kering Tamandi pu mama dong bori ikan kecil.
XV000072,kgv,"Binkur esun bisa erat kies, bisa pawan weinun.",,,"Binkur's father can carve a canoe, and planks too.",,,,SN000119,Fajaria Yarkuran,Binkur pu bapa bisa potong perahu dan juga bisa papan.
XV000073,kgv,Tata Nostala pawanat parair La Deka bitko.,,,"Grandfather Nostal splits planks, La Deka carries them on his shoulder.",,,,SN000120,Fajaria Yarkuran,Tete Nostal yang bela papan La Deka yang pikul.
XV000074,kgv,Eline beladarga yecieni bot. Ma minde bo godung ma koi marmar.,,,"She slept until the morning, then she walked.",,,,SN000121,Fajaria Yarkuran ; narr25 103.1,"Eline sudah pergi di Belanda. ; Dia tidur sampai pagi, dia lagi jalan."
XV000075,kgv,Som yumene toni tumun yumene boda.,,,That person says that kid is stupid.,,,,SN000123,Fajaria Yarkuran,Orang itu bilang anak itu bodoh.
XV000076,kgv,An muapta bolan koraru bolan patin.,,,"I eat and bit my mouth, now I have sore in my mouth.",,,,SN000124,Fajaria Yarkuran,Saya makan saya gigit mulut luka.
XV000077,kgv,Nostal et bolat bor.,,,Nostal is drilling the rim of the canoe.,,,,SN000124,Fajaria Yarkuran,Nostal bor pinggir perahu.
XV000078,kgv,"Mei o, bolkoyalkin.",,,"Come, eat.",,,,SN000126,Fajaria Yarkuran,"Mari o, kita makan."
XV000079,kgv,Nabil emun bolkulun lalang.,,,Nabil's mother has sore lips.,,,,SN000127,Fajaria Yarkuran,Nabil pu mama dia pu bibir pedis.
XV000080,kgv,An tok boloni muapkin.,,,I eat a little first.,,,,SN000129,Fajaria Yarkuran,Saya makan sedikit dulu.
XV000081,kgv,Ma mat bon tiri.,,,He brings him running.,,,,SN000130,Fajaria Yarkuran,Dia bawa lari dia.
XV000082,kgv,Mier Yaban esaunbona garunggarung.,mier\tYaban\tesun\t=bon\t=a\tgarung\tgarung\t.,3DU\t\tfather; adult man; uncle\t=COM\t=FOC\ttalk together\ttalk together\t,He is talking with Yaban's father.,,,,SN000131,conv9 600.1,Dia bicara dengan Yaban bapak.
XV000083,kgv,Ka nebara bonasausau reba?,,,What are you doing?,,,,SN000133,Fajaria Yarkuran,Kamu bikinbikin kerja apa?
XV000084,kgv,Mu rorap owara bonasauwuo paruo.,,,They are making the foundation over there.,,,,SN000133,Fajaria Yarkuran,Dorang kerja fundasi di sana.
XV000085,kgv,Mama leba erunat borte pawankin.,,,Uncle imam is drilling his canoe for planks.,,,,SN000135,Fajaria Yarkuran,Om imam bor perahu pu papan.
XV000086,kgv,"An sukaun boraratnin, ka borarei.",,,"I don't want to go in the front, you go first.",,,,SN000137,Fajaria Yarkuran,"Saya tidak suka pergi di depan, kamu di depan."
XV000087,kgv,"Munggaruok mambara, kon borara, eir epkadok.",,,"They three stand, one in the front, two in the back.",,,,SN000137,,"Dong tiga berdiri, satu di depan, dua dari belakang."
XV000088,kgv,Tumun yumene se mat boubou ye tok?,,,"That kid, is it bathed yet or not?",,,,SN000142,Fajaria Yarkuran,Anak itu su kasi mandi ka belum?
XV000089,kgv,Bal imene sikanara koboukbouk.,,,That dog is barking at a cat.,,,,SN000143,Fajaria Yarkuran,Anjing itu gonggong kucing.
XV000090,kgv,Ma sekolain ba buk saerak.,,,He wants to go to school but he doesn't have a book.,,,,SN000146,Fajaria Yarkuran,Dia mau sekola tapi buku tidak ada.
XV000091,kgv,Kiba mu bunga arun bo reidak pusun kerkapten.,,,Kiba's family have a lot of blossom with red flowers.,,,,SN000149,Fajaria Yarkuran,Kiba dong pohon bunga banyak dia pu bunga merah.
XV000092,kgv,Banda mu rorunat merengguende bo bungbung.,,,Banda and they are gathering wood in a high heap.,,,,SN000152,Fajaria Yarkuran,Banda dong kumpul kayu tinggi.
XV000093,kgv,Sontum Pourgara marua buokparin watko.,,,People from Faor come to sell betel here.,,,,SN000153,Fajaria Yarkuran,Orang dari Faur yang datang mau jual pinang di sini.
XV000094,kgv,Kuek go saunet me pararuo wieat burbur.,,,"In the evening, the fruit bats fly hitting mangoes.",,,,SN000159 ; SN001070,,Kelelawar malam itu dia terbang pukul-pukul mangga.
XV000095,kgv,Busbus kon ma ror poskoa amkeit.,,,A parrot laid eggs in the tree hole.,,,,SN000161,Fajaria Yarkuran,Sejenis burung nuri bertelur di lubang kayu.
XV000096,kgv,Ma bustangun rasemsem paruo ning.,,,Her nose pimples make her sick.,,,,SN000162,Fajaria Yarkuran,Dia pu hidung jerawat bikin sakit.
XV000097,kgv,Mu but yumenggara marmari bara.,,,They are walking down those stairs.,,,,SN000164,Fajaria Yarkuran,Dorang jalan turun dari tanggatangga itu.
XV000098,kgv,"Sorca reidak, an soran bolodak.","sor\t-ca\treidak\t,\tan\tsor\t-an\tbolodak\t.",fish\t2sg.poss\tmuch\t\t1SG\tfish\t1SG.POSS\tjust a little\t,"You have a lot of fish, I have little fish.",,,,SN000165,Fajaria Yarkuran,"Kau punya ikan banyak, saya punya ikan sedikit."
XV000099,kgv,"Keica, Jawaca, Walakaca","Kei\t-ca\t,\tJawa\t-ca\t,\tWalaka\t-ca",\t2sg.poss\t\tJava; Javanese\t2sg.poss\t\tGorom\t2sg.poss,"Man from Kei, man from Java, man from Gorom.",,,,SN000166,Fajaria Yarkuran,"lakilaki dari Kei, lakilaki dari Jawa, lakilaki dari Gorom"
XV000100,kgv,An kadenan lalangda sirie Binkur esun anat cam.,,,"I had a fever, I ordered Binkur's father to medicate me.",,,,SN000167,Fajaria Yarkuran,Saya pu badan panas saya suru Binkur bapa bikin obat.
XV000101,kgv,Canam me watsara reba.,,,That man is harvesting coconuts.,,,,SN000171,Fajaria Yarkuran,Lakilaki itu panjat kelapa.
XV000102,kgv,Kamanget polkayak canamat dorma.,,,The medicine man cuts a male papaya tree.,,,,SN000171,Fajaria Yarkuran,Dukun cabang pepaya lakilaki.
XV000103,kgv,Kiba emun cangkirat losing eiri jie.,,,Kiba's mother bought two dozen cups.,,,,SN000172,Fajaria Yarkuran,Kiba pu mama beli cangkir dua dusin.
XV000104,kgv,Ema caunbon esa caunbon amdirgara bo impotma reba.,,,Aunt and uncle are in the garden cutting bananas.,,,,SN000174,Fajaria Yarkuran,Mama kecil dan bapa kecil pergi di kebun potong pisang.
XV000105,kgv,Buokce bon bara elak yawetko.,buok\t-ce\tbon\tbara\t*elak\tyawetko\t.,betel; betel nut\t2PL.POSS\tbring\tdescend\tbottom\tdown there\t,Bring your betel down there.,,,,SN000175,narr2 79.1,Kamong pu pinang bawa di bawa sana.
XV000106,kgv,"Walaka me cengki reidak, sayang me kurang.",,,"In Gorom there are many clove trees, not so many nutmegs.",,,,SN000177,Fajaria Yarkuran,"Di Gorom itu cengkeh banyak, pala itu kurang."
XV000107,kgv,Bilal esun mu keweun me temun. Ibu guru mukin me cicaun.,,,Bilal's father's family hava big house. Mrs. Teacher's family's is small.,,,,SN000180,Fajaria Yarkuran,Bilal pu bapa dong pu rumah besar. Ibu guru dong pu kecil.
XV000108,kgv,Mu coknenenggia sirarai gamutuat paruo.,,,They are making a broom with hairs from the sugar palm.,,,,SN000185,Fajaria Yarkuran,Dorang bikin sapu gamutu dengan bulubulu pohon enau.
XV000109,kgv,Dadir kon eba sonturun me bunga bungare rasa.,,,There is a striped fish with a nice colored pattern.,,,,SN000186,Fajaria Yarkuran,Ikan dadir satu ekor baru dia warna bunga-bunga bagus.
XV000110,kgv,Dagim sikana sor meja kerunggoat na.,,,"The meat, the cat has eaten it from the tabletop.",,,,SN000187,Fajaria Yarkuran,Binatang kucing makan ikan di atas meja.
XV000111,kgv,Kalamang ladanunat dakdak kadermorte.,,,Kalamang cut his shirt in anger.,,,,SN000188,Fajaria Yarkuran,Kalamang dia mara potongpotong dia pu baju.
XV000112,kgv,Irjan jembatan kerungga dalang.,,,Irjan jumped from the dock.,,,,SN000190,Fajaria Yarkuran,Irjan lompat dari atas jembatan.
XV000113,kgv,Tamandi emun kiwat semda bo dalangdalang.,,,Tamandi's mother was afraid of a snake and jumped around.,,,,SN000191,Fajaria Yarkuran,Tamandi pu mama takut ular sampai lompatlompat.
XV000114,kgv,Nostal bo damarat parairte lepalepa jonsong kudakudanat paruotkin.,,,Nostal goes to split callophyllum to make a stand for his boat motor.,,,,SN000193,Fajaria Yarkuran,Nostal pi belah bintangur bikin kudakuda perahu jonson.
XV000115,kgv,Mu bo Tamisengga som dande yecie.,,,They are going (on a return trip) to bury someone in Antalisa.,,,,SN000195,Fajaria Yarkuran,Dong pergi kubur orang di Antalisa.
XV000116,kgv,Dandang temun metkoa pasat nakukuste.,,,Steam the rice in a big boiler.,,,,SN000196,Fajaria Yarkuran,Kukus nasi di panci dandang besar itu.
XV000117,kgv,Et me mu yar nawanenda owatko daren.,,,"That canoe, they loaded stones in it and it sank over there.",,,,SN000197,Fajaria Yarkuran,Perahu itu dong muat batu tenggelam di sana.
XV000118,kgv,Paramuang somat koni owatko dareok.,,,A crocodile swallowed a person over there.,,,,SN000198,Fajaria Yarkuran,Buaya telang satu orang di sana.
XV000119,kgv,Sikolatumtum lapanganggoa yuor daruan.,,,The school children are pulling out weed at the sports field.,,,,SN000202,Fajaria Yarkuran,Anakanak sekola cabut rumput di lapangan.
XV000120,kgv,Bakri emun daukca se bo Walakangga.,,,"Bakri's mother, your inlaw went to Gorom.",,,,SN000204,Fajaria Yarkuran,Bakri pu mama kau pu ipar su pi Gorom.
XV000121,kgv,Malik Banda deir pasieko.,,,Malik pushed Banda in the water.,,,,SN000207,Fajaria Yarkuran,Malik dorong Banda di air garam.
XV000122,kgv,Sontum Pakpakatenara mu deir.,,,They brought people from Fakfak.,,,,SN000207,Fajaria Yarkuran,Orang dari Fakfak yang dong antar.
XV000123,kgv,Ror yumene ur koura ma dekte ran mian.,,,"That wood, when the wind blows it moves back and forth.",,,,SN000208,Fajaria Yarkuran,Kayu itu angin tiup dia bergerak pigi datang.
XV000124,kgv,Belek kon poukta yuonser kosara deledelep.,,,A floating tin shimmers when the sunrays hit it.,,,,SN000209,Fajaria Yarkuran,Kaleng satu hanyut sinar matahari kenal kilaukilau.
XV000125,kgv,In perlalangat kuarta didir din na.,,,We were boiling water and the fire burnt the fireplace.,,,,SN000213,Fajaria Yarkuran,Kitong masak air panas tungku terbakar.
XV000126,kgv,Didirasan me cicaun ba mu didirasun me temun.,,,"My kitchen is small, but their kitchen is big.",,,,SN000214,Fajaria Yarkuran,Saya pu dapur kecil tapi dong pu dapur besar.
XV000127,kgv,Rajiba emun mu sayangat karuarta diguar se bo.,,,"Rajiba's mother's family are smokedrying nutmeg, the smoke is rising.",,,,SN000215,Fajaria Yarkuran,Rajiba pu mama dong asar pala asap sampai.
XV000128,kgv,Din susurta ma dikolko.,,,The fire was burning and she pushed it aside.,,,,SN000216,Fajaria Yarkuran,Api menyala dia kasih keluar.
XV000129,kgv,Suar pespesat komarukta din se bo paras.,,,(We are) burning ironwood leftovers and the flames are rising.,,,,SN000219,Fajaria Yarkuran,Bakar kulit kayu besi api sampai bara.
XV000130,kgv,Mu dinat upta din songsong reidak.,,,They kindled a fire and there were many embers.,,,,SN000220,Fajaria Yarkuran,Mereka bikin api dia pu bara banyak.
XV000131,kgv,Mu dinat upta kewe dinan.,,,They kindled a fire and burnt the house.,,,,SN000221,Fajaria Yarkuran,Mereka bikin api rumah terbakar.
XV000132,kgv,Diwadiwal karimunggo reidak.,,,There are many pandanus at the cape.,,,,SN000223,Fajaria Yarkuran,Daun tikar banyak di tanjung.
XV000133,kgv,Unyil namunat pareri bo Dobuo ba mier tumununbon se yecie.,,,Unyil follwed her husband to Dobu but she and her child returned.,,,,SN000225,Fajaria Yarkuran,Unyil ikut dia pu laki di Dobu tapi dia dengan dia pu anak pulang.
XV000134,kgv,"Agus emun ma dodon parin: ladan, kadok, sungsung.",,,"Agus's mother sells clothes: shirts, sarongs, pants.",,,,SN000226,Fajaria Yarkuran,"Mama Agus dong yang jual pakaian: baju, kain, celana."
XV000135,kgv,"Pulor opa ka tura me tamabadok, oskadok?","pulor\topa\tka\ttu\t-ra\tme\ttama\t=ba\t-dok\t,\tos\t=ka\t-dok\t?",betel vine\tANA\t2SG\thit; pound\tNFIN\tTOP\tq; which\t=FOC\tside\t\tsand\t=LAT\tside\t,"That betel leaf that you pounded, which side is it from, from the beach?",,,,SN000227,conv12 173.1,"Daun sirih tadi ka tumbu, dari mana, dari pasir putih?"
XV000136,kgv,Ki koi dokadoka eh.,,,"You're sitting doing nothing, eh.",,,,SN000228,Fajaria Yarkuran,Kamong duduk-duduk saja eh.
XV000137,kgv,Doka kona pararuoni karimunat kuang.,,,A heron flew round the cape.,,,,SN000229,Fajaria Yarkuran,Burung bangau satu ekor terbang balik tanjung.
XV000138,kgv,Don iriskap koyet neba mindi muap.,,,"The sugar is finished, what do we eat now.",,,,SN000233,Fajaria Yarkuran,Gula habis apa kita makan.
XV000139,kgv,"Patinun temun, don konkonin, bolodak.","patin\t-un\ttemun\t,\tdon konkon\t=nin\t,\tbolodak\t.",sore\t3POSS\tbig\t\tanything\t=NEG\t\tjust a little\t,"He has a big wound, it doesn't matter, it's just a little.",,,,SN000235,,"Dia pu luka besar, tidak apa apa, sedikit saja."
XV000140,kgv,Don penpen mambon?,,,Is there sugar?,,,,SN000236,Fajaria Yarkuran,Ada gula?
XV000141,kgv,Don pernananja losing puraman?,,,How many glasses do you have?,,,,SN000237,Fajaria Yarkuran,Kamu pu gelas berapa lusin?
XV000142,kgv,Kalis temunden me don yuolyuol yua me yuolnin.,,,It rained a lot so the lamps don't burn.,,,,SN000238,Fajaria Yarkuran,Hujan besar jadi lampu tidak menyala.
XV000143,kgv,Donenet kuskapkapten bo nasuena nerunggo.,,,A black ant goes inside the sugar.,,,,SN000239,Fajaria Yarkuran,Semut hitam masuk dalam gula.
XV000144,kgv,"Kahamin pararuore dong, murkumkum ma epkon.",,,"Birds are flying in a flock, a flock of pidgeons.",,,,SN000240,Fajaria Yarkuran,Burung merpati putih satu kawan yang terbang.
XV000145,kgv,Ladan yumet masarura ba donselet tan yuonyuon paruoret.,,,Rip that shirt so that you can make a cloth for wiping hands.,,,,SN000242,Fajaria Yarkuran,Sobek baju sepanggal itu bikin laplap tangan.
XV000146,kgv,An kielunat dorman.,,,I pull out the root.,,,,SN000244,Fajaria Yarkuran,Saya cabut akar.
XV000147,kgv,"Kalis perat olori dorom nerunggo, dorom se mikon.",,,"(We) collect rain water in a drum, the drum is already full.",,,,SN000245,Fajaria Yarkuran,"Tada air hujan di dalam drem, drem sudah penuh."
XV000148,kgv,Nene Ruslan Mustafa emun mukonggara dowipaning.,,,Ruslan's grandmother asks seeds from Mustafa's mother.,,,,SN000246,Fajaria Yarkuran,Nene Ruslan minta bibit di Mustafa pu mama dorang.
XV000149,kgv,Dudin turi pasaembir nerunggo.,,,A cockroach fell in the rice bucket.,,,,SN000249,Fajaria Yarkuran,Kecoak jatuh di dalam ember beras.
XV000150,kgv,Mu marmari os koldun bo duk.,,,They walked until the edge of the beach.,,,,SN000250,Fajaria Yarkuran,Mereka jalan di ujung pasir.
XV000151,kgv,Wowa Nona pingan waruo galas nauduk galas terak.,,,"Aunt Nona did the dishes, glasses hit each other, the glasses broke.",,,,SN000251,,Wowa Nona cuci piring gelas baku tatoki gelas retak.
